branch,scenario,env_id,method,mean_gain_kw,std_gain_kw,gain_pct,mean_reward,std_reward,baseline_mean
Kevin,Scenario 2,Turb16_Row5_Floris,Random,1.6876650000000382,0.43936096613260844,0.499,339.744232,0.43936096613260844,338.056567
Kevin,Scenario 2,Turb16_Row5_Floris,TabPFN,1.6664586666666992,1.0459721190387086,0.493,339.7230256666667,1.0459721190387086,338.056567
Zeph,Scenario 2,Turb1_Row1_Floris,PPO,-0.0007820000000151595,0.0,-0.000159,490.355911,0.0,490.356693
Kevin,Scenario 2,Turb2_Row1_Floris,GP,-0.02617433333335839,0.2654658015966172,-0.009,296.26297166666666,0.2654658015966172,296.289146
Kevin,Scenario 2,Turb2_Row1_Floris,GraphPFN,0.26351899999997386,0.0,0.089,296.552665,0.0,296.289146
Zeph,Scenario 2,Turb2_Row1_Floris,PPO,0.9771690000000035,0.0,0.329803,297.266307,0.0,296.289138
Kevin,Scenario 2,Turb2_Row1_Floris,Random,-0.050638999999989665,0.3266758542362794,-0.017,296.238507,0.3266758542362794,296.289146
Kevin,Scenario 2,Turb2_Row1_Floris,TabPFN,0.31088133333332735,0.3738224541012893,0.105,296.60002733333334,0.3738224541012893,296.289146
Kevin,Scenario 2,Turb32_Row5_Floris,GP,1.9004719999999793,0.20011030732821458,0.606,315.768674,0.20011030732821458,313.868202
Kevin,Scenario 2,Turb32_Row5_Floris,GraphPFN,3.717715333333331,0.8256277129992281,1.184,317.5859173333333,0.8256277129992281,313.868202
Zeph,Scenario 2,Turb32_Row5_Floris,PPO,1.5252770000000169,0.0,0.485961,315.393478,0.0,313.868201
Kevin,Scenario 2,Turb32_Row5_Floris,Random,1.9004719999999793,0.20011030732821458,0.606,315.768674,0.20011030732821458,313.868202
Kevin,Scenario 2,Turb32_Row5_Floris,TabPFN,2.215850666666654,1.3288337945496722,0.706,316.08405266666665,1.3288337945496722,313.868202
Kevin,Scenario 2,Turb3_Row1_Floris,GP,1.5474439999999845,0.7797508981315815,0.679,229.378841,0.7797508981315815,227.831397
Kevin,Scenario 2,Turb3_Row1_Floris,GraphPFN,4.816649666666677,0.017300300816273685,2.114,232.6480466666667,0.017300300816273685,227.831397
Zeph,Scenario 2,Turb3_Row1_Floris,PPO,27.321390000000008,0.0,11.991934,255.152792,0.0,227.831402
Kevin,Scenario 2,Turb3_Row1_Floris,Random,1.734455999999966,0.7724313116264658,0.761,229.56585299999998,0.7724313116264658,227.831397
Kevin,Scenario 2,Turb3_Row1_Floris,TabPFN,2.77513133333332,1.9861399274555982,1.218,230.60652833333333,1.9861399274555982,227.831397
Kevin,Scenario 2,Turb4_Row1_Floris,GP,1.286549999999977,0.30444776659880957,0.648,199.783203,0.30444776659880957,198.496653
Kevin,Scenario 2,Turb4_Row1_Floris,GraphPFN,6.202446666666674,2.328672478486882,3.125,204.69909966666668,2.328672478486882,198.496653
Kevin,Scenario 2,Turb4_Row1_Floris,Random,1.696231333333344,0.5322691502673544,0.855,200.19288433333335,0.5322691502673544,198.496653
Kevin,Scenario 2,Turb4_Row1_Floris,TabPFN,4.688501666666667,0.29356515914246395,2.362,203.18515466666668,0.29356515914246395,198.496653
Kevin,Scenario 2,Turb5_Row1_Floris,GP,4.052436333333333,1.004900173435319,2.212,187.29373533333333,1.004900173435319,183.241299
Kevin,Scenario 2,Turb5_Row1_Floris,GraphPFN,5.08420799999999,0.0,2.775,188.325507,0.0,183.241299
Kevin,Scenario 2,Turb5_Row1_Floris,Random,1.8463916666666478,0.23768958794262918,1.008,185.08769066666665,0.23768958794262918,183.241299
Kevin,Scenario 2,Turb5_Row1_Floris,TabPFN,1.3502226666666957,0.5162452702517856,0.737,184.5915216666667,0.5162452702517856,183.241299
Kevin,Scenario 2,Turb6_Row1_Floris,GP,1.7516683333333276,0.354699523259257,1.01,175.12573633333332,0.354699523259257,173.374068
Kevin,Scenario 2,Turb6_Row1_Floris,GraphPFN,8.588483999999994,0.0,4.954,181.962552,0.0,173.374068
Kevin,Scenario 2,Turb6_Row1_Floris,Random,1.4711196666666808,0.18112026485277424,0.849,174.84518766666667,0.18112026485277424,173.374068
Kevin,Scenario 2,Turb6_Row1_Floris,TabPFN,2.15015333333335,0.8220855841975057,1.24,175.52422133333334,0.8220855841975057,173.374068
Kevin,Scenario 2,Turb6_Row2_Floris,GP,1.450462999999985,0.904230459949789,0.637,229.313122,0.904230459949789,227.862659
Kevin,Scenario 2,Turb6_Row2_Floris,GraphPFN,4.089717999999976,1.0546223673557307,1.795,231.95237699999998,1.0546223673557307,227.862659
Zeph,Scenario 2,Turb6_Row2_Floris,PPO,18.925166999999988,0.0,8.305515,246.787825,0.0,227.862658
Kevin,Scenario 2,Turb6_Row2_Floris,Random,1.285556666666679,0.44869710601845386,0.564,229.1482156666667,0.44869710601845386,227.862659
Kevin,Scenario 2,Turb6_Row2_Floris,TabPFN,3.3071999999999946,1.8422835502644523,1.451,231.169859,1.8422835502644523,227.862659
Kevin,Scenario 2,Turb7_Row1_Floris,GP,3.0478919999999903,3.129108678026552,1.832,169.39485,3.129108678026552,166.346958
Kevin,Scenario 2,Turb7_Row1_Floris,GraphPFN,10.752988333333349,1.3835020316090418,6.464,177.09994633333335,1.3835020316090418,166.346958
Kevin,Scenario 2,Turb7_Row1_Floris,Random,1.5776030000000105,0.27431095733310473,0.948,167.924561,0.27431095733310473,166.346958
Kevin,Scenario 2,Turb7_Row1_Floris,TabPFN,4.246114666666671,1.8810142292753427,2.553,170.59307266666667,1.8810142292753427,166.346958
Kevin,Scenario 2,Turb8_Row1_Floris,GP,8.988020333333338,5.760700966720665,5.578,170.11591533333333,5.760700966720665,161.127895
Kevin,Scenario 2,Turb8_Row1_Floris,GraphPFN,14.94108266666666,3.0290826210601107,9.273,176.06897766666665,3.0290826210601107,161.127895
Kevin,Scenario 2,Turb8_Row1_Floris,Random,1.7775760000000105,0.7232758752371121,1.103,162.905471,0.7232758752371121,161.127895
Kevin,Scenario 2,Turb8_Row1_Floris,TabPFN,8.641666999999984,11.515436350165944,5.363,169.76956199999998,11.515436350165944,161.127895
Kevin,Scenario 2,Turb9_Row1_Floris,GP,2.7266803333333485,1.4082922273166012,1.735,159.85138733333335,1.4082922273166012,157.124707
Kevin,Scenario 2,Turb9_Row1_Floris,GraphPFN,19.172590999999983,2.563366756800139,12.202,176.29729799999998,2.563366756800139,157.124707
Kevin,Scenario 2,Turb9_Row1_Floris,Random,2.1452536666666617,1.8440482761213963,1.365,159.26996066666666,1.8440482761213963,157.124707
Kevin,Scenario 2,Turb9_Row1_Floris,TabPFN,1.1967820000000131,0.7217746524525354,0.762,158.321489,0.7217746524525354,157.124707
Kevin,Scenario 2,Turb_TCRWP_Floris,GP,3.6880823333333126,2.418912892020988,2.284,165.13022633333333,2.418912892020988,161.442144
Kevin,Scenario 2,Turb_TCRWP_Floris,GraphPFN,11.65401833333334,1.440740428335837,7.219,173.09616233333335,1.440740428335837,161.442144
Zeph,Scenario 2,Turb_TCRWP_Floris,PPO,16.903369999999995,0.0,10.470234,178.345509,0.0,161.442139
Kevin,Scenario 2,Turb_TCRWP_Floris,Random,3.3966529999999864,2.861509109956505,2.104,164.838797,2.861509109956505,161.442144
Kevin,Scenario 2,Turb_TCRWP_Floris,TabPFN,2.235237333333316,0.7678884378823095,1.385,163.67738133333333,0.7678884378823095,161.442144
Kevin,Scenario 2,WMR_Floris,GP,-3.847861666666688,0.2678708221238847,-0.81,471.1632443333333,0.2678708221238847,475.011106
Kevin,Scenario 2,WMR_Floris,GraphPFN,-5.15648299999998,0.5904682389705618,-1.086,469.854623,0.5904682389705618,475.011106
Zeph,Scenario 2,WMR_Floris,PPO,-3.5167280000000005,0.0,-0.740346,471.494388,0.0,475.011116
Kevin,Scenario 2,WMR_Floris,Random,-3.847861666666688,0.2678708221238847,-0.81,471.1632443333333,0.2678708221238847,475.011106
Kevin,Scenario 2,WMR_Floris,TabPFN,-3.0950599999999895,0.7693745193720898,-0.652,471.916046,0.7693745193720898,475.011106
